,pallets,weight,distance,avg_gas_price,quote,isMajorCity,shipmentType
268,2.0,1100,1186.0,3.712,752.96,False,LTL
269,2.0,1200,51.0,3.712,80.81,False,Sprinter Van
270,2.0,1400,866.0,3.712,741.82,False,LTL
271,5.0,3600,883.0,3.712,1312.09,False,LTL
272,2.0,800,24.0,3.712,80.81,False,Sprinter Van
273,3.0,3000,744.0,3.712,2108.22,False,Multiple
274,2.0,800,400.0,3.712,570.24,False,LTL
275,2.0,1000,1196.0,3.712,845.73,False,LTL
276,2.0,1200,533.0,3.712,567.63,False,LTL
277,3.0,3400,2175.0,3.712,2800.0,False,LTL
278,2.0,1000,796.0,3.712,616.47,False,LTL
279,2.0,800,12.0,3.712,40.41,False,Sprinter Van
280,2.0,1400,23.0,3.954,350.0,False,Box Truck
281,2.0,1000,1915.0,3.954,955.41,False,LTL
282,2.0,900,793.0,3.954,433.85,False,LTL
283,16.0,16000,11.0,3.954,950.0,False,FTL
284,3.0,1800,515.0,3.954,543.92,False,LTL
285,2.0,1000,970.0,3.954,539.63,False,LTL
286,2.0,1000,88.0,3.954,625.0,False,Box Truck
287,3.0,1400,976.0,3.954,975.0,True,FTL
288,3.0,1600,1003.0,3.954,1250.0,False,Box Truck
289,8.0,6200,1015.0,3.954,3000.0,False,Box Truck
290,2.0,1000,871.0,3.954,868.81,False,LTL
291,2.0,1000,30.0,3.954,121.21,False,Sprinter Van
292,2.0,1200,968.0,3.954,853.15,False,LTL
293,3.0,2200,91.0,3.958,600.0,False,Box Truck
294,2.0,1000,9.0,3.958,250.0,False,Sprinter Van
295,4.0,2400,19.0,3.958,550.0,False,Box Truck
296,2.0,1000,851.0,3.958,470.0,False,LTL
297,20.0,21600,392.0,3.958,2000.0,False,FTL
298,15.0,17000,1065.0,3.958,3400.0,True,FTL
299,16.0,22000,1066.0,3.958,3300.0,False,FTL
300,10.0,9600,747.0,3.958,2900.0,False,FTL
301,9.0,8000,78.0,3.958,1050.0,False,FTL
302,2.0,1000,13.0,3.958,134.73,False,FTL
303,2.0,1000,925.0,3.958,825.06,False,LTL
304,3.0,1000,1012.0,3.958,660.17,False,LTL
305,2.0,1000,935.0,3.958,1303.37,False,LTL
306,2.0,1000,935.0,3.958,1303.37,False,LTL
307,2.0,1200,1182.0,3.958,513.35,False,LTL
308,2.0,1200,1000.0,3.958,581.81,False,LTL
309,2.0,1200,1172.0,3.958,539.28,False,LTL
310,4.0,2200,532.0,3.958,500.0,False,LTL
311,6.0,5000,1113.0,3.958,2180.0,False,Box Truck
312,2.0,800,10.0,3.958,94.34,False,Sprinter Van
313,2.0,1600,928.0,3.958,936.37,False,LTL
314,2.0,1400,206.0,3.958,94.34,False,Sprinter Van
315,2.0,1400,34.0,3.958,400.0,False,Box Truck
316,2.0,800,11.0,3.958,94.34,False,Sprinter Van
317,5.0,3600,956.0,3.742,2950.0,False,Box Truck
318,4.0,2800,2332.0,3.742,2920.76,False,LTL
319,2.0,1200,2540.0,3.742,1011.69,False,LTL
320,2.0,1800,19.0,3.742,400.0,False,Box Truck
321,2.0,1200,2206.0,3.742,1379.71,True,LTL
322,2.0,1200,15.0,3.742,121.21,False,Sprinter Van
323,2.0,800,178.0,3.742,121.21,False,Sprinter Van
324,2.0,1000,1055.0,3.742,650.18,False,LTL
325,10.0,15000,931.0,3.742,13512.5,True,FTL
326,10.0,15000,931.0,3.742,3044.38,True,FTL
327,3.0,1800,853.0,3.742,762.55,False,LTL
328,2.0,1200,11.0,3.742,375.0,False,Box Truck
329,2.0,1600,737.0,3.742,620.12,False,LTL
330,3.0,1400,970.0,3.742,819.33,False,LTL
331,6.0,5600,11.0,3.742,950.0,False,Box Truck
332,2.0,1200,2419.0,3.742,2243.31,False,LTL
333,2.0,1200,812.0,3.742,574.91,False,LTL
334,2.0,1400,741.0,3.742,700.32,False,LTL
335,2.0,1200,10.0,3.742,325.0,False,Box Truck
337,2.0,800,930.0,3.443,765.21,True,LTL
338,2.0,1600,689.0,3.443,595.98,False,LTL
339,2.0,1400,4.0,3.443,350.0,False,Box Truck
340,3.0,1600,215.0,3.443,675.0,False,Box Truck
341,3.0,1800,86.0,3.443,700.0,False,Box Truck
342,2.0,1200,19.0,3.443,375.0,False,Box Truck
343,2.0,3000,10.0,3.443,400.0,False,Box Truck
345,3.0,1600,7.0,3.443,332.5,False,Box Truck
346,2.0,1800,150.0,3.443,650.0,False,Box Truck
347,2.0,2000,1015.0,3.443,841.95,False,LTL
348,2.0,1000,2194.0,3.443,1213.91,False,LTL
349,2.0,1200,102.0,3.443,575.0,False,Box Truck
350,2.0,1400,522.0,3.443,1595.69,False,Multiple
351,4.0,2200,68.0,3.443,700.0,False,Box Truck
352,2.0,1114,34.0,3.443,80.71,False,Sprinter Van
353,2.0,1114,23.0,3.443,150.0,False,Sprinter Van
354,2.0,1000,926.0,3.443,760.75,False,LTL
355,2.0,1400,19.0,3.443,200.0,False,Box Truck
356,2.0,1400,19.0,3.443,200.0,False,Box Truck
357,2.0,1400,19.0,3.443,200.0,False,Box Truck
358,2.0,1400,19.0,3.443,200.0,False,Box Truck
359,2.0,1400,19.0,3.443,200.0,False,Box Truck
360,2.0,1400,19.0,3.443,145.0,False,Box Truck
361,2.0,1400,19.0,3.443,145.0,False,Box Truck
362,2.0,1200,976.0,3.443,969.78,True,LTL
363,2.0,800,11.0,3.443,100.0,False,Sprinter Van
364,2.0,1000,2407.0,3.257,1322.24,False,LTL
365,3.0,1500,747.0,3.257,981.21,False,LTL
366,2.0,800,34.0,3.257,100.0,False,Sprinter Van
367,3.0,3000,747.0,3.257,941.33,False,LTL
368,2.0,1800,907.0,3.257,653.73,False,LTL
369,2.0,1000,2200.0,3.257,693.87,False,LTL
370,4.0,2800,1832.0,3.257,1299.09,False,LTL
371,4.0,2800,922.0,3.257,0.0,False,Multiple
372,5.0,3400,922.0,3.257,1779.65,False,Multiple
373,4.0,3400,402.0,3.257,1975.0,False,Box Truck
374,3.0,2600,955.0,3.257,984.56,False,LTL
375,3.0,2000,19.0,3.257,400.0,False,Box Truck
