,pallets,weight,distance,avg_gas_price,quote,Old Calculator,Old Calculator - With 15% Cost Cushion,ML Calculator Results
133,2.0,1200,1000.0,3.958,581.81,610.5,737.17875,713.6244984504943
134,2.0,1200,1172.0,3.958,539.28,649.716,784.53207,836.4634584272482
135,4.0,2200,532.0,3.958,500.0,835.092,1008.3735899999999,715.125889793194
136,2.0,1600,928.0,3.958,936.37,594.0840000000001,717.3564300000002,706.293488265812
137,4.0,2800,2332.0,3.742,2920.76,1655.892,1999.4895900000001,2079.360805961568
138,2.0,1200,2540.0,3.742,1011.69,961.62,1161.15615,1826.0376899456273
139,2.0,1200,2206.0,3.742,1379.71,885.4680000000001,1069.20261,1587.501569990768
140,2.0,1000,1055.0,3.742,650.18,623.04,752.3208,743.4354152435341
141,3.0,1800,853.0,3.742,762.55,779.2260000000001,940.9153950000002,800.1073332647492
142,2.0,1600,737.0,3.742,620.12,550.5360000000001,664.7722200000001,582.4610999948925
143,3.0,1400,970.0,3.742,819.33,819.24,989.2323,839.5764434433496
144,2.0,1200,2419.0,3.742,2243.31,934.032,1127.84364,1739.6219099619807
145,2.0,1200,812.0,3.742,574.91,567.636,685.4204699999999,591.9346501791692
146,2.0,1400,741.0,3.742,700.32,551.448,665.8734599999999,563.2728450915585
148,2.0,800,930.0,3.443,765.21,594.54,717.90705,649.5263733172486
149,2.0,1600,689.0,3.443,595.98,539.592,651.55734,565.5888929609939
151,2.0,2000,1015.0,3.443,841.95,613.9200000000001,741.3084,842.5015227225216
152,2.0,1000,2194.0,3.443,1213.91,882.732,1065.89889,1574.2948680492104
153,2.0,1000,926.0,3.443,760.75,593.628,716.8058100000001,668.7146282205827
154,2.0,1200,976.0,3.443,969.78,605.028,730.57131,726.4686031166185
155,2.0,1000,2407.0,3.257,1322.24,931.296,1124.5399200000002,1737.2445342093474
156,3.0,1500,747.0,3.257,981.21,742.974,897.141105,719.5745500734232
157,3.0,3000,747.0,3.257,941.33,742.974,897.141105,884.9118618443739
158,2.0,1800,907.0,3.257,653.73,589.296,711.57492,754.1544340232484
159,2.0,1000,2200.0,3.257,693.87,884.1,1067.55075,1589.4092742373236
160,4.0,2800,1832.0,3.257,1299.09,1427.892,1724.1795900000002,1750.5085651776822
161,3.0,2600,955.0,3.257,984.56,814.11,983.037825,989.3713520106758
